Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,Collection
fightpro-pink-unicorn-roze-eenhoorn-t-shirt-kids,,,,,,,,152,,,shopify,12,deny,manual,29.95,,TRUE,TRUE,,,,,,,,
fightpro-pink-unicorn-roze-eenhoorn-t-shirt-kids,,,,,,,,164,,,shopify,12,deny,manual,29.95,,TRUE,TRUE,,,,,,,,
fightpro-ice-wolf-broekje-kids,Fightpro ICE WOLF  / broekje kids LEGENDS,"<p>LEGEND KIDS COLLECTION</p>
<p>Fightpro ICE WOLF / broekje kids</p>
<p>&nbsp;</p>",Fightpro,Kids,"Fightpro, Kids",TRUE,Maat,140,,,shopify,12,deny,manual,34.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/06/FIGHTPRO-kickboks-broekje-ice-wolf.jpg,1,Fightpro ICE WOLF  / broekje kids LEGENDS,FALSE,Fightpro ICE WOLF  / broekje kids LEGENDS,"Fightpro ICE WOLF broekje kids ,kickboks broekje voor kids. Mooi te combineren met handschoenen, shirt , tas en scheenbeschermers van dezelfde lijn. te verkrijgen in de maten: XXS XS S M",active,Kids
fightpro-ice-wolf-broekje-kids,,,,,,,,152,,,shopify,12,deny,manual,34.95,,TRUE,TRUE,,,,,,,,
fightpro-ice-wolf-broekje-kids,,,,,,,,164,,,shopify,12,deny,manual,34.95,,TRUE,TRUE,,,,,,,,
fightpro-pink-unicorn-roze-eenhoorn-broekje-kids,Fightpro PINK UNICORN LEGEND roze eenhoorn / broekje kids LEGENDS,"<p>LEGENDS KIDS COLLECTION</p>
<p>Fightpro PINK UNICORN roze eenhoorn / broekje kids</p>
<p>&nbsp;</p>",Fightpro,Kids,"Fightpro, Kids",TRUE,Maat,140,,,shopify,12,deny,manual,34.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/06/FIGHTPRO-kickboks-broekje-PINK-UNICORN.jpg,1,Fightpro PINK UNICORN LEGEND roze eenhoorn / broekje kids LEGENDS,FALSE,Fightpro PINK UNICORN LEGEND roze eenhoorn / broekje kids LEGENDS,"Fightpro PINK UNICORN roze eenhoorn / broekje kids ,kickboks broekje voor kids. Mooi te combineren met handschoenen, shirt , tas en scheenbeschermers van dezelfde lijn. te verkrijgen in de maten: XXS XS S M",active,Kids
fightpro-pink-unicorn-roze-eenhoorn-broekje-kids,,,,,,,,152,,,shopify,12,deny,manual,34.95,,TRUE,TRUE,,,,,,,,
fightpro-pink-unicorn-roze-eenhoorn-broekje-kids,,,,,,,,164,,,shopify,12,deny,manual,34.95,,TRUE,TRUE,,,,,,,,
elleboog-beschermers-mma-muay-thai,Elleboog beschermers MMA- Muay Thai,<p>Elleboog beschermers MMA- Muay Thai</p>,PX,knie-elleboog beschermers,"knie-elleboog beschermers, PX, Bescherming",TRUE,Title,Default Title,,,shopify,12,deny,manual,18.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/06/PX-elleboogbeschermermuay-thai-kickbox-mma.jpg,1,Elleboog beschermers MMA- Muay Thai,FALSE,Elleboog beschermers MMA- Muay Thai,Elleboog beschermers MMA- Muay Thai,active,Bescherming
joya-kniebeschermers-mma-grappling,Joya kniebeschermers MMA-Grappling,<p>Joya kniebeschermers MMA-Grappling</p>,Joya,knie-elleboog beschermers,"knie-elleboog beschermers, Joya, Bescherming",TRUE,Title,Default Title,,,shopify,12,deny,manual,19.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/06/JOYA-kniebeschermers-MMA-Grappling.jpg,1,Joya kniebeschermers MMA-Grappling,FALSE,Joya kniebeschermers MMA-Grappling,Joya kniebeschermers MMA-Grappling,active,Bescherming
px-kniebeschermers-mma-grappling,PX kniebeschermers MMA-Grappling,<p>PX kniebeschermers MMA-Grappling</p>,PX,knie-elleboog beschermers,"knie-elleboog beschermers, PX, Bescherming",TRUE,Title,Default Title,,,shopify,12,deny,manual,18.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/06/PX-kniebeschermers-MMA-Grappling.jpg,1,PX kniebeschermers MMA-Grappling,FALSE,PX kniebeschermers MMA-Grappling,PX kniebeschermers MMA-Grappling,active,Bescherming
fightpro-zakhandschoenen-vintage-leer-zwart,Fightpro Zakhandschoenen Vintage Leer Zwart,"<p class=""price"">Fightpro zakhandschoenen van hoogwaardig leer in zwart en bruin. Ideaal voor bokszaktraining, pads en techniekwerk. Duurzaam, comfortabel en perfect voor intensief gebruik in boksen en kickboksen.</p>",Joya,Zak handschoenen,"Zak handschoenen, Joya, Handschoenen",TRUE,Maat,L,01100-1102-L,,shopify,12,deny,manual,59.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/06/fightpro-zakhandschoene-bag-gloves-black-leather-vintage.jpg,1,Fightpro Zakhandschoenen Vintage Leer Zwart,FALSE,Fightpro Zakhandschoenen Vintage Leer Zwart,Fightpro Zakhandschoenen Leer Zwart,active,Handschoenen
fightpro-zakhandschoenen-vintage-leer-zwart,,,,,,,,M,01100-1102-M,,shopify,12,deny,manual,59.95,,TRUE,TRUE,,,,,,,,
fightpro-zakhandschoenen-vintage-leer-zwart,,,,,,,,S,01100-1102-S,,shopify,12,deny,manual,59.95,,TRUE,TRUE,,,,,,,,
fightpro-zakhandschoenen-vintage-leer-zwart,,,,,,,,XL,01100-1102-XL,,shopify,12,deny,manual,59.95,,TRUE,TRUE,,,,,,,,
fightpro-zakhandschoenen-vintage-leer-zwart,,,,,,,,XS,01100-1102-XS,,shopify,12,deny,manual,59.95,,TRUE,TRUE,,,,,,,,
fightpro-zakhandschoenen-vintage-leer-zwart,,,,,,,,XXS,01100-1102-XXS,,shopify,12,deny,manual,59.95,,TRUE,TRUE,,,,,,,,
fightpro-zakhandschoenen-vintage-leer-bruin,Fightpro Zakhandschoenen Vintage Leer Bruin,"<p class=""price"">Fightpro zakhandschoenen van hoogwaardig leer in zwart en bruin. Ideaal voor bokszaktraining, pads en techniekwerk. Duurzaam, comfortabel en perfect voor intensief gebruik in boksen en kickboksen.</p>",Joya,Zak handschoenen,"Zak handschoenen, Joya, Handschoenen",TRUE,Maat,L,01100-1101-L,,shopify,12,deny,manual,59.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/06/fightpro-zakhandschoene-bag-gloves-brown-leather-vintage.jpg,1,Fightpro Zakhandschoenen Vintage Leer Bruin,FALSE,Fightpro Zakhandschoenen Vintage Leer Bruin,Fightpro Zakhandschoenen Leer Bruin,active,Handschoenen
fightpro-zakhandschoenen-vintage-leer-bruin,,,,,,,,M,01100-1101-M,,shopify,12,deny,manual,59.95,,TRUE,TRUE,,,,,,,,
fightpro-zakhandschoenen-vintage-leer-bruin,,,,,,,,S,01100-1101-S,,shopify,12,deny,manual,59.95,,TRUE,TRUE,,,,,,,,
fightpro-zakhandschoenen-vintage-leer-bruin,,,,,,,,XL,01100-1101-XL,,shopify,12,deny,manual,59.95,,TRUE,TRUE,,,,,,,,
fightpro-zakhandschoenen-vintage-leer-bruin,,,,,,,,XS,01100-1101-XS,,shopify,12,deny,manual,59.95,,TRUE,TRUE,,,,,,,,
fightpro-zakhandschoenen-vintage-leer-bruin,,,,,,,,XXS,01100-1101-XXS,,shopify,12,deny,manual,59.95,,TRUE,TRUE,,,,,,,,
joya-mma-handschoen-essential-black-on-black,JOYA MMA Handschoen Essential black on black,<p>JOYA MMA Handschoen Essential black on black</p>,Joya,MMA Gloves,"MMA Gloves, Joya, Handschoenen",TRUE,Maat,L,ESSENTIAL-MMA-BK-BK-L,,shopify,12,deny,manual,44.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/06/JOYA-MMA-ESSENTIAL-HANDSCHOEN-ZWART-ZWART.jpg,1,JOYA MMA Handschoen Essential black on black,FALSE,JOYA MMA Handschoen Essential black on black,Mooie prijs/kwaliteit verhouding JOYA MMA Handschoen Essential black on black,active,Handschoenen
joya-mma-handschoen-essential-black-on-black,,,,,,,,M,ESSENTIAL-MMA-BK-BK-M,,shopify,12,deny,manual,44.95,,TRUE,TRUE,,,,,,,,
joya-mma-handschoen-essential-black-on-black,,,,,,,,S,ESSENTIAL-MMA-BK-BK-S,,shopify,12,deny,manual,44.95,,TRUE,TRUE,,,,,,,,
joya-mma-handschoen-essential-black-on-black,,,,,,,,XL,ESSENTIAL-MMA-BK-BK-XL,,shopify,12,deny,manual,44.95,,TRUE,TRUE,,,,,,,,
joya-mma-handschoen-essential-black-on-black,,,,,,,,XS,ESSENTIAL-MMA-BK-BK-XS,,shopify,12,deny,manual,44.95,,TRUE,TRUE,,,,,,,,
